time,x,theta
8.1,-0.29005,-0.436831
8.11,-0.291704,-0.432145
8.12,-0.293242,-0.428233
8.13,-0.294664,-0.42509
8.14,-0.295972,-0.422711
8.15,-0.297163,-0.421094
8.16,-0.29824,-0.420236
8.17,-0.299201,-0.420136
8.18,-0.300047,-0.420794
8.19,-0.300777,-0.422212
8.2,-0.301392,-0.424391
8.21,-0.30189,-0.427334
8.22,-0.302274,-0.431045
8.23,-0.302541,-0.435529
8.24,-0.302691,-0.440792
8.25,-0.302725,-0.446841
8.26,-0.302643,-0.453683
8.27,-0.302444,-0.461328
8.28,-0.302127,-0.469785
8.29,-0.301695,-0.479064
8.3,-0.301145,-0.489177
8.31,-0.300479,-0.500135
8.32,-0.299697,-0.511952
8.33,-0.2988,-0.52464
8.34,-0.297788,-0.538214
8.35,-0.296664,-0.552687
8.36,-0.295428,-0.568075
8.37,-0.294083,-0.584394
8.38,-0.29263,-0.601658
8.39,-0.291074,-0.619883
8.4,-0.289417,-0.639086
8.41,-0.287664,-0.659283
8.42,-0.28582,-0.680489
8.43,-0.28389,-0.702721
8.44,-0.281881,-0.725995
8.45,-0.279799,-0.750326
8.46,-0.277655,-0.77573
8.47,-0.275456,-0.802223
8.48,-0.273213,-0.829819
8.49,-0.270938,-0.858534
8.5,-0.268644,-0.888381
8.51,-0.266344,-0.919375
8.52,-0.264055,-0.951531
8.53,-0.261792,-0.984861
8.54,-0.259574,-1.01938
8.55,-0.25742,-1.0551
8.56,-0.25535,-1.09204
8.57,-0.253389,-1.13021
8.58,-0.251558,-1.16963
8.59,-0.249883,-1.21031
8.6,-0.248391,-1.25228
8.61,-0.24711,-1.29554
8.62,-0.24607,-1.34012
8.63,-0.245301,-1.38603
8.64,-0.244836,-1.43331
8.65,-0.244708,-1.48198
8.66,-0.244952,-1.53207
8.67,-0.245605,-1.5836
8.68,-0.246703,-1.63661
8.69,-0.248286,-1.69114
8.7,-0.250391,-1.74722
8.71,-0.25306,-1.8049
8.72,-0.256331,-1.86422
8.73,-0.260245,-1.92523
8.74,-0.264841,-1.98798
8.75,-0.270157,-2.0525
8.76,-0.27623,-2.11886
8.77,-0.283091,-2.18709
8.78,-0.29077,-2.25723
8.79,-0.299287,-2.3293
8.8,-0.308656,-2.40332
8.81,-0.318878,-2.47928
8.82,-0.329942,-2.55713
8.83,-0.341816,-2.63682
8.84,-0.354452,-2.71821
8.85,-0.367777,-2.80115
8.86,-0.381693,-2.88542
8.87,-0.396079,-2.97075
8.88,-0.410791,-3.0568
8.89,-0.425671,3.13995
8.9,-0.440547,3.05353
